;match_id;team_id;date_id;result;min;pts;fgm;fga;fgp;tpm;tpa;tpp;ftm;fta;ftp;oreb;dreb;reb;ast;tov;stl;blk;pf
362;11112022MEM;MEM;24;W;48;114;44;88;50.0;7;33;21.2;19;27;70.4;15;31;46;25;14;8;3;19
363;11112022SAS;MIL;24;L;48;93;32;98;32.7;12;43;27.9;17;23;73.9;21;27;48;22;17;7;5;14
364;11112022OKC;TOR;24;L;48;113;38;88;43.2;11;30;36.7;26;36;72.2;14;25;39;20;16;13;4;16
365;11112022LAL;SAC;24;W;48;120;45;87;51.7;12;36;33.3;18;21;85.7;10;30;40;27;15;10;4;17
366;11122022NOP;NOP;25;W;48;119;42;86;48.8;8;29;27.6;27;31;87.1;12;24;36;28;12;13;1;23
367;11122022IND;IND;25;W;48;118;41;82;50.0;19;43;44.2;17;23;73.9;11;40;51;33;21;4;6;23
368;11122022PHI;PHI;25;W;48;121;44;80;55.0;8;24;33.3;25;31;80.6;2;29;31;24;12;10;5;26
369;11122022PHI;ATL;25;L;48;109;40;89;44.9;6;24;25.0;23;27;85.2;12;31;43;20;19;4;2;19
370;11122022LAC;LAC;25;L;48;95;34;85;40.0;11;31;35.5;16;20;80.0;10;36;46;22;18;4;6;17
371;11122022DET;DET;25;L;48;108;37;89;41.6;16;38;42.1;18;21;85.7;11;39;50;23;14;4;3;23
372;11122022MIA;MIA;25;W;48;132;49;93;52.7;16;41;39.0;18;21;85.7;9;37;46;32;12;7;5;19
373;11122022LAC;BKN;25;W;48;110;40;83;48.2;16;35;45.7;14;21;66.7;6;35;41;27;13;9;6;18
374;11122022NOP;HOU;25;L;48;106;40;79;50.6;12;36;33.3;14;18;77.8;10;33;43;24;26;7;4;23
375;11122022WAS;WAS;25;W;48;121;44;88;50.0;16;36;44.4;17;20;85.0;6;40;46;27;9;6;8;14
376;11122022DET;BOS;25;W;48;117;39;91;42.9;18;48;37.5;21;24;87.5;9;33;42;27;7;6;4;17
377;11122022DAL;POR;25;L;48;112;36;80;45.0;13;31;41.9;27;35;77.1;12;32;44;20;12;6;2;21
378;11122022MIA;CHA;25;L;48;115;46;90;51.1;9;31;29.0;14;16;87.5;4;33;37;25;12;4;3;21
379;11122022WAS;UTA;25;L;48;112;44;94;46.8;14;40;35.0;10;11;90.9;7;35;42;33;12;4;3;17
380;11122022IND;TOR;25;L;48;104;37;94;39.4;7;35;20.0;23;29;79.3;16;27;43;14;12;12;8;18
381;11122022DAL;DAL;25;W;48;117;41;81;50.6;14;43;32.6;21;26;80.8;7;33;40;26;11;8;2;27
382;11132022SAC;SAC;26;W;48;122;47;91;51.6;16;37;43.2;12;19;63.2;9;36;45;31;16;8;2;17
383;11132022CHI;CHI;26;L;48;103;40;81;49.4;6;22;27.3;17;21;81.0;8;28;36;24;19;9;4;19
384;11132022CLE;MIN;26;W;48;129;46;82;56.1;12;24;50.0;25;34;73.5;11;36;47;30;13;5;4;30
385;11132022WAS;MEM;26;L;48;92;38;96;39.6;9;28;32.1;7;10;70.0;14;37;51;21;17;7;6;24
386;11132022CLE;CLE;26;L;48;124;40;89;44.9;17;34;50.0;27;39;69.2;16;24;40;22;10;6;1;22
387;11132022PHI;PHI;26;W;48;105;40;83;48.2;4;23;17.4;21;26;80.8;8;31;39;21;12;12;14;19
388;11132022LAL;LAL;26;W;48;116;44;91;48.4;11;27;40.7;17;20;85.0;12;33;45;25;9;3;2;22
389;11132022SAC;GSW;26;L;48;115;42;90;46.7;16;47;34.0;15;16;93.8;8;35;43;27;18;5;5;20
390;11132022CHI;DEN;26;W;48;126;48;80;60.0;13;27;48.1;17;21;81.0;5;31;36;33;16;11;3;17
391;11132022PHI;UTA;26;L;48;98;37;94;39.4;11;37;29.7;13;23;56.5;18;32;50;23;18;3;4;17
392;11132022NYK;NYK;26;L;48;135;48;97;49.5;10;31;32.3;29;33;87.9;13;22;35;25;13;13;2;18
393;11132022NYK;OKC;26;W;48;145;55;88;62.5;17;31;54.8;18;20;90.0;4;34;38;31;19;9;5;27
394;11132022LAL;BKN;26;L;48;103;36;80;45.0;7;27;25.9;24;31;77.4;8;33;41;22;13;5;5;17
395;11132022WAS;WAS;26;W;48;102;36;86;41.9;19;40;47.5;11;21;52.4;9;38;47;26;15;9;6;15
396;11142022ORL;ORL;27;L;48;105;36;88;40.9;14;36;38.9;19;23;82.6;22;26;48;23;22;3;7;18
397;11142022GSW;SAS;27;L;48;95;36;100;36.0;10;40;25.0;13;19;68.4;22;31;53;18;19;6;6;17
398;11142022DET;TOR;27;W;48;115;40;82;48.8;8;27;29.6;27;28;96.4;12;30;42;27;17;7;8;27
399;11142022BOS;BOS;27;W;48;126;46;96;47.9;10;37;27.0;24;29;82.8;10;36;46;25;14;15;7;20
400;11142022HOU;HOU;27;L;48;106;39;86;45.3;9;30;30.0;19;31;61.3;10;30;40;20;14;11;3;22
401;11142022HOU;LAC;27;W;48;122;41;81;50.6;14;38;36.8;26;33;78.8;9;35;44;25;17;6;4;23
402;11142022MIL;MIL;27;L;48;106;34;82;41.5;6;29;20.7;32;41;78.0;11;35;46;21;17;4;3;26
403;11142022MIA;MIA;27;W;48;113;38;83;45.8;15;33;45.5;22;25;88.0;17;25;42;23;15;6;4;10
404;11142022ORL;CHA;27;W;48;112;42;88;47.7;7;35;20.0;21;24;87.5;14;23;37;22;13;15;7;23
405;11142022MIA;PHX;27;L;48;112;48;99;48.5;14;36;38.9;2;4;50.0;20;25;45;22;14;9;4;22
406;11142022GSW;GSW;27;W;48;132;47;88;53.4;23;45;51.1;15;16;93.8;5;35;40;35;13;9;3;17
407;11142022MIL;ATL;27;W;48;121;44;92;47.8;7;20;35.0;26;30;86.7;13;32;45;23;9;4;4;23
408;11142022DET;DET;27;L;48;111;35;77;45.5;10;31;32.3;31;43;72.1;11;28;39;23;19;8;2;23
409;11142022BOS;OKC;27;L;48;122;47;98;48.0;11;30;36.7;17;21;81.0;10;41;51;21;20;4;6;21
410;11152022DAL;LAC;28;L;48;101;34;64;53.1;12;28;42.9;21;26;80.8;3;37;40;23;21;8;2;27
411;11152022UTA;UTA;28;L;48;111;36;83;43.4;14;43;32.6;25;30;83.3;15;34;49;29;21;7;5;22
412;11152022POR;SAS;28;L;48;110;44;85;51.8;9;29;31.0;13;17;76.5;11;27;38;34;19;7;5;25
413;11152022POR;POR;28;W;48;117;41;79;51.9;15;32;46.9;20;26;76.9;9;30;39;22;17;6;3;17
414;11152022UTA;NYK;28;W;48;118;44;93;47.3;11;32;34.4;19;25;76.0;13;30;43;26;14;10;3;25
415;11152022SAC;SAC;28;W;48;153;56;94;59.6;20;41;48.8;21;25;84.0;9;34;43;39;17;9;4;24
416;11152022DAL;DAL;28;W;48;103;35;80;43.8;17;43;39.5;16;24;66.7;8;26;34;20;12;12;1;20
417;11152022SAC;BKN;28;L;48;121;40;81;49.4;11;28;39.3;30;33;90.9;3;26;29;25;17;5;3;18
418;11152022NOP;NOP;28;W;48;113;43;91;47.3;18;38;47.4;9;12;75.0;7;36;43;31;10;2;8;20
419;11152022NOP;MEM;28;L;48;102;38;92;41.3;9;35;25.7;17;25;68.0;14;37;51;16;11;6;8;17
420;11162022PHX;GSW;29;L;48;119;42;92;45.7;18;42;42.9;17;17;100.0;6;34;40;30;17;5;3;23
421;11162022TOR;MIA;29;L;48;104;36;66;54.5;13;35;37.1;19;22;86.4;4;19;23;19;23;5;4;20
422;11162022DAL;DAL;29;L;48;92;31;102;30.4;12;55;21.8;18;19;94.7;13;25;38;21;6;9;2;19
423;11162022WAS;OKC;29;W;48;121;44;81;54.3;16;31;51.6;17;26;65.4;9;28;37;24;15;4;7;22
424;11162022WAS;WAS;29;L;48;120;44;86;51.2;17;34;50.0;15;17;88.2;11;30;41;32;19;8;5;20
