match_id;date_id;away_team;away_pts;home_pts;home_team
11132022NYK;26;OKC;145;135;NYK
11132022PHI;26;UTA;98;105;PHI
11132022SAC;26;GSW;115;122;SAC
11132022WAS;26;MEM;102;92;WAS
11142022MIL;27;ATL;121;106;MIL
11142022MIA;27;PHX;112;113;MIA
11142022ORL;27;CHA;112;105;ORL
11142022GSW;27;SAS;132;95;GSW
11142022DET;27;TOR;111;115;DET
11142022HOU;27;LAC;122;106;HOU
11142022BOS;27;OKC;122;126;BOS
11152022UTA;28;NYK;118;111;UTA
11152022SAC;28;BKN;121;153;SAC
11152022NOP;28;MEM;102;113;NOP
11152022POR;28;SAS;117;110;POR
11152022DAL;28;LAC;103;101;DAL
11162022ATL;29;BOS;126;101;ATL
11162022CHA;29;IND;125;113;CHA
11162022DAL;29;HOU;101;92;DAL
11162022DEN;29;NYK;106;103;DEN
11162022MIL;29;CLE;98;113;MIL
11162022NOP;29;CHI;124;110;NOP
11162022ORL;29;MIN;126;108;ORL
11162022PHX;29;GSW;130;119;PHX
11162022TOR;29;MIA;112;104;TOR
11162022WAS;29;OKC;120;121;WAS
11172022SAC;30;SAS;130;112;SAC
11172022LAC;30;DET;96;91;LAC
11172022POR;30;BKN;109;107;POR
11182022CHI;31;ORL;107;108;CHI
11182022CLE;31;CHA;122;132;CLE
11182022DAL;31;DEN;127;99;DAL
11182022GSW;31;NYK;111;101;GSW
11182022HOU;31;IND;99;91;HOU
11182022LAL;31;DET;121;128;LAL
11182022MEM;31;OKC;121;110;MEM
11182022NOP;31;BOS;117;109;NOP
11182022PHI;31;MIL;110;102;PHI
11182022UTA;31;PHX;133;134;UTA
11182022WAS;31;MIA;106;107;WAS
11192022PHI;32;MIN;109;112;PHI
11192022POR;32;UTA;113;118;POR
11192022IND;32;ORL;113;114;IND
11192022LAC;32;SAS;119;97;LAC
11192022ATL;32;TOR;122;124;ATL
11202022WAS;33;CHA;106;102;WAS
11202022SAC;33;DET;129;137;SAC
11202022PHX;33;NYK;116;95;PHX
11202022DAL;33;DEN;98;97;DAL
11202022HOU;33;GSW;127;120;HOU
11202022CLE;33;MIA;113;87;CLE
11202022BKN;33;MEM;115;127;BKN
11202022LAL;33;SAS;123;92;LAL
