;MATCH UP;GAME DATE;W/L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;+/-
1128;GSW vs. PHX;01/10/2023;L;48;113;37;96;38.5;18;48;37.5;21;27;77.8;16;29;45;24;17;13;2;26;-12
1129;LAC vs. DAL;01/10/2023;W;48;113;39;86;45.3;12;31;38.7;23;30;76.7;12;34;46;20;10;7;4;23;12
1130;SAS @ MEM;01/09/2023;L;48;113;44;97;45.4;11;32;34.4;14;16;87.5;12;30;42;28;14;8;1;24;-8
1131;ORL @ SAC;01/09/2023;L;48;111;41;90;45.6;14;44;31.8;15;20;75.0;9;32;41;24;13;7;7;18;-25
1132;SAC vs. ORL;01/09/2023;W;48;136;52;97;53.6;23;46;50.0;9;12;75.0;11;37;48;39;11;4;1;16;25
1133;BOS vs. CHI;01/09/2023;W;48;107;38;87;43.7;11;41;26.8;20;21;95.2;9;41;50;25;9;2;7;12;8
1134;NYK vs. MIL;01/09/2023;L;48;107;38;100;38.0;11;41;26.8;20;22;90.9;18;30;48;16;7;8;1;14;-4
1135;WAS vs. NOP;01/09/2023;L;48;112;42;82;51.2;14;34;41.2;14;18;77.8;7;30;37;26;20;5;1;25;-20
1136;MIL @ NYK;01/09/2023;W;48;111;39;89;43.8;19;49;38.8;14;18;77.8;12;36;48;27;14;3;5;17;4
1137;CHI @ BOS;01/09/2023;L;48;99;39;86;45.3;12;35;34.3;9;14;64.3;6;36;42;19;8;6;1;18;-8
1138;NOP @ WAS;01/09/2023;W;48;132;49;93;52.7;10;26;38.5;24;31;77.4;12;32;44;24;10;9;5;21;20
1139;MEM vs. SAS;01/09/2023;W;48;121;45;91;49.5;11;26;42.3;20;35;57.1;11;39;50;26;14;9;7;15;8
1140;LAL @ DEN;01/09/2023;L;48;109;41;93;44.1;8;28;28.6;19;25;76.0;11;33;44;20;14;12;2;14;-13
1141;DEN vs. LAL;01/09/2023;W;48;122;46;99;46.5;15;42;35.7;15;17;88.2;14;41;55;29;17;7;11;19;13
1142;CHA @ IND;01/08/2023;L;48;111;38;88;43.2;11;33;33.3;24;27;88.9;13;36;49;25;18;8;4;26;-5
1143;MEM vs. UTA;01/08/2023;W;48;123;46;102;45.1;15;38;39.5;16;22;72.7;13;26;39;28;10;16;7;19;5
1144;DAL @ OKC;01/08/2023;L;48;109;31;73;42.5;14;39;35.9;33;42;78.6;8;32;40;21;13;3;1;19;-11
1145;OKC vs. DAL;01/08/2023;W;48;120;46;95;48.4;12;28;42.9;16;20;80.0;12;35;47;27;8;5;8;26;11
1146;ATL @ LAC;01/08/2023;W;48;112;44;89;49.4;8;26;30.8;16;20;80.0;7;36;43;22;9;7;9;18;4
1147;MIN @ HOU;01/08/2023;W;48;104;38;80;47.5;10;28;35.7;18;22;81.8;9;35;44;23;19;8;4;18;8
1148;DET vs. PHI;01/08/2023;L;48;111;44;87;50.6;8;23;34.8;15;18;83.3;10;33;43;25;23;9;2;20;-12
1149;HOU vs. MIN;01/08/2023;L;48;96;38;89;42.7;11;36;30.6;9;15;60.0;12;29;41;26;20;8;7;19;-8
1150;IND vs. CHA;01/08/2023;W;48;116;38;87;43.7;13;38;34.2;27;33;81.8;8;33;41;27;16;14;7;22;5
1151;MIA vs. BKN;01/08/2023;L;48;101;38;92;41.3;13;35;37.1;12;17;70.6;16;25;41;22;12;8;4;17;-1
1152;BKN @ MIA;01/08/2023;W;48;102;39;76;51.3;12;33;36.4;12;15;80.0;6;34;40;22;19;8;8;21;1
1153;TOR vs. POR;01/08/2023;W;48;117;40;91;44.0;12;31;38.7;25;29;86.2;13;28;41;26;10;12;8;28;12
1154;POR @ TOR;01/08/2023;L;48;105;34;76;44.7;9;30;30.0;28;37;75.7;10;32;42;19;24;5;4;24;-12
1155;UTA @ MEM;01/08/2023;L;48;118;45;88;51.1;10;32;31.3;18;22;81.8;8;38;46;29;21;7;9;18;-5
1156;PHI @ DET;01/08/2023;W;48;123;46;94;48.9;11;37;29.7;20;23;87.0;14;30;44;24;14;12;5;17;12
1157;LAC vs. ATL;01/08/2023;L;48;108;37;95;38.9;10;30;33.3;24;31;77.4;21;38;59;25;11;6;5;19;-4
1158;CLE @ PHX;01/08/2023;W;48;112;45;78;57.7;11;29;37.9;11;17;64.7;3;36;39;29;14;8;5;12;14
1159;PHX vs. CLE;01/08/2023;L;48;98;37;84;44.0;14;26;53.8;10;11;90.9;6;30;36;22;16;7;2;14;-14
1160;ORL @ GSW;01/07/2023;W;48;115;44;87;50.6;13;32;40.6;14;24;58.3;7;37;44;26;11;12;2;14;14
1161;CHI vs. UTA;01/07/2023;W;48;126;44;83;53.0;13;28;46.4;25;32;78.1;7;37;44;22;10;4;4;22;8
1162;LAL @ SAC;01/07/2023;W;48;136;50;82;61.0;9;21;42.9;27;33;81.8;10;28;38;26;17;4;3;25;2
1163;SAS vs. BOS;01/07/2023;L;48;116;49;100;49.0;7;25;28.0;11;14;78.6;12;39;51;25;13;6;3;20;-5
1164;GSW vs. ORL;01/07/2023;L;48;101;33;88;37.5;18;58;31.0;17;21;81.0;11;38;49;26;16;7;1;17;-14
1165;SAC vs. LAL;01/07/2023;L;48;134;45;86;52.3;14;32;43.8;30;37;81.1;13;21;34;25;14;5;4;26;-2
1166;NOP @ DAL;01/07/2023;L;48;117;45;94;47.9;5;29;17.2;22;35;62.9;15;29;44;26;13;14;4;25;-10
1167;UTA @ CHI;01/07/2023;L;48;118;46;93;49.5;12;41;29.3;14;18;77.8;7;32;39;36;10;6;2;24;-8
1168;BOS @ SAS;01/07/2023;W;48;121;47;95;49.5;15;34;44.1;12;18;66.7;8;35;43;30;14;6;10;15;5
1169;DAL vs. NOP;01/07/2023;W;48;127;42;74;56.8;13;29;44.8;30;38;78.9;5;34;39;23;17;5;7;24;10
1170;MIA @ PHX;01/06/2023;W;48;104;33;78;42.3;12;38;31.6;26;31;83.9;5;32;37;19;13;10;3;14;8
1171;POR @ IND;01/06/2023;L;48;99;38;94;40.4;9;33;27.3;14;17;82.4;12;40;52;30;18;5;1;19;-9
1172;BKN @ NOP;01/06/2023;W;48;108;37;85;43.5;15;33;45.5;19;20;95.0;10;33;43;26;13;8;12;23;6
1173;CHA @ MIL;01/06/2023;W;48;138;53;102;52.0;20;48;41.7;12;19;63.2;13;36;49;32;5;11;3;17;29
1174;IND vs. POR;01/06/2023;W;48;108;38;84;45.2;7;25;28.0;25;28;89.3;4;37;41;22;14;11;6;22;9
1175;DET @ SAS;01/06/2023;L;48;109;44;93;47.3;11;31;35.5;10;17;58.8;15;22;37;23;16;11;0;22;-12
1176;CLE @ DEN;01/06/2023;L;48;108;40;88;45.5;10;26;38.5;18;32;56.3;18;22;40;30;7;7;5;18;-13
1177;MIL vs. CHA;01/06/2023;L;48;109;37;84;44.0;20;48;41.7;15;24;62.5;12;33;45;22;17;5;4;18;-29
1178;OKC vs. WAS;01/06/2023;W;48;127;50;98;51.0;17;37;45.9;10;14;71.4;11;30;41;30;10;9;6;26;17
1179;ATL @ LAL;01/06/2023;L;48;114;44;96;45.8;9;31;29.0;17;22;77.3;7;32;39;24;12;8;5;15;-16
1180;LAL vs. ATL;01/06/2023;W;48;130;51;93;54.8;16;35;45.7;12;16;75.0;7;44;51;33;18;6;5;18;16
1181;LAC @ MIN;01/06/2023;L;48;115;44;100;44.0;9;25;36.0;18;27;66.7;18;22;40;22;10;13;3;19;-13
1182;CHI @ PHI;01/06/2023;W;48;126;48;84;57.1;20;34;58.8;10;17;58.8;8;37;45;33;12;3;4;14;14
1183;MIN vs. LAC;01/06/2023;W;48;128;46;81;56.8;13;35;37.1;23;29;79.3;10;35;45;28;20;4;7;22;13
1184;DEN vs. CLE;01/06/2023;W;48;121;43;81;53.1;17;35;48.6;18;23;78.3;13;36;49;28;14;5;4;23;13
1185;PHX vs. MIA;01/06/2023;L;48;96;34;82;41.5;6;23;26.1;22;25;88.0;8;36;44;22;14;5;2;20;-8
1186;PHI vs. CHI;01/06/2023;L;48;112;40;92;43.5;18;41;43.9;14;18;77.8;12;26;38;28;7;6;3;15;-14
1187;NOP vs. BKN;01/06/2023;L;48;102;35;88;39.8;12;29;41.4;20;25;80.0;14;37;51;16;16;7;4;20;-6
1188;WAS @ OKC;01/06/2023;L;48;110;38;79;48.1;7;24;29.2;27;36;75.0;11;35;46;21;20;6;2;18;-17
1189;NYK @ TOR;01/06/2023;W;48;112;39;83;47.0;16;37;43.2;18;26;69.2;13;38;51;19;13;3;4;23;4
1190;TOR vs. NYK;01/06/2023;L;48;108;35;83;42.2;10;29;34.5;28;35;80.0;12;34;46;22;7;7;3;23;-4
1191;SAS vs. DET;01/06/2023;W;48;121;45;81;55.6;9;24;37.5;22;26;84.6;7;37;44;27;18;8;4;16;12
1192;DAL vs. BOS;01/05/2023;L;48;95;34;90;37.8;7;32;21.9;20;25;80.0;11;31;42;15;11;4;3;19;-29
1193;BOS @ DAL;01/05/2023;W;48;124;41;84;48.8;16;43;37.2;26;31;83.9;10;42;52;29;11;6;8;22;29
1194;UTA @ HOU;01/05/2023;W;48;131;46;93;49.5;19;48;39.6;20;21;95.2;9;33;42;33;8;10;5;20;17
1195;HOU vs. UTA;01/05/2023;L;48;114;38;92;41.3;15;42;35.7;23;26;88.5;14;35;49;19;15;4;3;21;-17
1196;LAC @ DEN;01/05/2023;L;48;91;34;91;37.4;5;37;13.5;18;25;72.0;8;33;41;24;8;7;3;14;-31
1197;MEM @ ORL;01/05/2023;W;48;123;48;92;52.2;12;36;33.3;15;23;65.2;9;40;49;24;13;5;3;22;8
1198;DEN vs. LAC;01/05/2023;W;48;122;45;89;50.6;14;36;38.9;18;21;85.7;10;47;57;28;12;6;5;16;31
1199;ORL vs. MEM;01/05/2023;L;48;115;39;84;46.4;11;36;30.6;26;30;86.7;7;32;39;23;11;6;3;22;-8
1200;GSW vs. DET;01/04/2023;L;48;119;45;87;51.7;15;40;37.5;14;15;93.3;9;31;40;31;14;3;4;20;-3
1201;POR @ MIN;01/04/2023;L;48;106;33;75;44.0;9;29;31.0;31;42;73.8;12;27;39;18;18;8;7;30;-7
1202;CHI vs. BKN;01/04/2023;W;48;121;43;81;53.1;8;20;40.0;27;29;93.1;6;40;46;21;17;7;7;16;9
1203;BKN @ CHI;01/04/2023;L;48;112;42;91;46.2;12;37;32.4;16;21;76.2;5;29;34;24;11;9;7;22;-9
1204;MIA @ LAL;01/04/2023;L;48;109;43;95;45.3;8;29;27.6;15;21;71.4;14;29;43;24;13;9;4;20;-3
1205;ORL vs. OKC;01/04/2023;W;48;126;42;81;51.9;13;33;39.4;29;36;80.6;13;36;49;26;17;6;5;22;11
1206;NOP vs. HOU;01/04/2023;W;48;119;41;89;46.1;14;38;36.8;23;26;88.5;15;36;51;25;15;6;6;19;11
1207;CHA vs. MEM;01/04/2023;L;48;107;38;94;40.4;11;38;28.9;20;24;83.3;10;34;44;25;12;11;8;23;-24
1208;PHX @ CLE;01/04/2023;L;48;88;32;81;39.5;10;28;35.7;14;18;77.8;8;41;49;24;15;8;3;19;-2
1209;SAC vs. ATL;01/04/2023;L;48;117;41;88;46.6;10;25;40.0;25;27;92.6;10;32;42;26;11;9;3;19;-3
1210;TOR vs. MIL;01/04/2023;L;53;101;38;116;32.8;9;46;19.6;16;20;80.0;14;33;47;22;9;10;4;23;-3
1211;SAS @ NYK;01/04/2023;L;48;114;41;82;50.0;11;28;39.3;21;26;80.8;9;29;38;25;17;5;3;24;-3
1212;IND @ PHI;01/04/2023;L;53;126;45;95;47.4;13;36;36.1;23;26;88.5;13;32;45;31;13;7;8;18;-3
1213;HOU @ NOP;01/04/2023;L;48;108;39;88;44.3;12;38;31.6;18;27;66.7;12;31;43;25;13;10;4;22;-11
1214;MEM @ CHA;01/04/2023;W;48;131;47;94;50.0;9;30;30.0;28;37;75.7;11;48;59;28;14;10;8;16;24
1215;OKC @ ORL;01/04/2023;L;48;115;36;89;40.4;15;37;40.5;28;31;90.3;9;24;33;23;9;9;3;23;-11
1216;CLE vs. PHX;01/04/2023;W;48;90;30;77;39.0;11;36;30.6;19;23;82.6;7;39;46;15;15;9;4;17;2
1217;MIN vs. POR;01/04/2023;W;48;113;39;76;51.3;9;24;37.5;26;36;72.2;8;25;33;25;15;8;6;30;7
1218;NYK vs. SAS;01/04/2023;W;48;117;45;94;47.9;10;31;32.3;17;26;65.4;14;33;47;16;14;7;6;21;3
1219;DET @ GSW;01/04/2023;W;48;122;45;92;48.9;16;36;44.4;16;23;69.6;11;30;41;29;10;9;1;11;3
1220;LAL vs. MIA;01/04/2023;W;48;112;40;81;49.4;8;27;29.6;24;30;80.0;9;33;42;20;17;10;4;18;3
1221;ATL @ SAC;01/04/2023;W;48;120;45;84;53.6;10;30;33.3;20;22;90.9;7;37;44;21;16;9;4;21;3
1222;PHI vs. IND;01/04/2023;W;53;129;48;98;49.0;14;36;38.9;19;22;86.4;14;32;46;24;11;4;7;19;3
1223;MIL @ TOR;01/04/2023;W;53;104;35;88;39.8;13;39;33.3;21;30;70.0;13;60;73;26;28;4;4;24;3
1224;OKC vs. BOS;01/03/2023;W;48;150;58;98;59.2;20;40;50.0;14;22;63.6;9;35;44;31;13;14;3;23;33
1225;MIL vs. WAS;01/03/2023;W;48;123;48;100;48.0;11;40;27.5;16;17;94.1;15;34;49;27;12;8;6;14;10
1226;BOS @ OKC;01/03/2023;L;48;117;40;88;45.5;12;40;30.0;25;31;80.6;11;27;38;29;17;4;7;15;-33
1227;UTA vs. SAC;01/03/2023;L;48;115;38;88;43.2;13;44;29.5;26;29;89.7;12;32;44;21;16;9;3;19;-2
1228;WAS @ MIL;01/03/2023;L;48;113;42;97;43.3;8;27;29.6;21;23;91.3;14;32;46;27;10;9;4;16;-10
1229;SAC @ UTA;01/03/2023;W;48;117;46;86;53.5;9;32;28.1;16;18;88.9;7;33;40;23;18;7;4;26;2
1230;SAS @ BKN;01/02/2023;L;48;103;42;97;43.3;8;31;25.8;11;18;61.1;15;28;43;26;18;5;4;13;-36
1231;LAL @ CHA;01/02/2023;W;48;121;45;93;48.4;10;30;33.3;21;30;70.0;9;44;53;26;15;6;5;21;6
1232;CHA vs. LAL;01/02/2023;L;48;115;42;93;45.2;11;32;34.4;20;29;69.0;8;39;47;24;14;8;7;22;-6
1233;MIA @ LAC;01/02/2023;W;48;110;39;85;45.9;12;36;33.3;20;24;83.3;12;36;48;22;11;7;2;23;10
1234;DET @ POR;01/02/2023;L;48;106;34;82;41.5;6;18;33.3;32;41;78.0;9;36;45;16;21;8;4;27;-29
1235;GSW vs. ATL;01/02/2023;W;58;143;54;121;44.6;19;59;32.2;16;24;66.7;23;46;69;34;19;9;6;23;2
1236;CLE vs. CHI;01/02/2023;W;53;145;48;92;52.2;16;46;34.8;33;45;73.3;13;34;47;27;10;1;3;27;11
1237;DEN @ MIN;01/02/2023;L;48;111;42;91;46.2;11;29;37.9;16;20;80.0;18;27;45;27;15;8;1;21;-13
1238;CHI @ CLE;01/02/2023;L;53;134;47;95;49.5;10;33;30.3;30;34;88.2;6;36;42;22;7;8;2;33;-11
1239;NYK vs. PHX;01/02/2023;W;48;102;36;74;48.6;13;33;39.4;17;25;68.0;5;40;45;26;8;1;2;13;19
1240;HOU vs. DAL;01/02/2023;L;48;106;38;82;46.3;9;29;31.0;21;29;72.4;8;38;46;21;10;4;4;28;-5
1241;DAL @ HOU;01/02/2023;W;48;111;34;81;42.0;13;43;30.2;30;34;88.2;8;33;41;19;8;8;6;19;5
1242;TOR @ IND;01/02/2023;L;48;114;41;91;45.1;14;42;33.3;18;23;78.3;12;24;36;26;11;5;11;27;-8
1243;MIN vs. DEN;01/02/2023;W;48;124;45;87;51.7;13;36;36.1;21;27;77.8;11;30;41;29;12;7;4;22;13
1244;LAC vs. MIA;01/02/2023;L;48;100;29;67;43.3;12;29;41.4;30;34;88.2;3;31;34;19;15;7;1;18;-10
1245;ATL @ GSW;01/02/2023;L;58;141;53;109;48.6;11;35;31.4;24;29;82.8;10;43;53;30;13;9;10;17;-2
1246;IND vs. TOR;01/02/2023;W;48;122;45;93;48.4;10;27;37.0;22;26;84.6;15;35;50;24;13;4;2;19;8
1247;NOP @ PHI;01/02/2023;L;48;111;42;84;50.0;11;29;37.9;16;20;80.0;10;39;49;26;17;3;6;22;-9
1248;PHX @ NYK;01/02/2023;L;48;83;34;87;39.1;10;37;27.0;5;7;71.4;5;31;36;22;8;4;0;17;-19
1249;POR vs. DET;01/02/2023;W;48;135;48;84;57.1;14;31;45.2;25;35;71.4;6;38;44;29;18;16;6;27;29
1250;BKN vs. SAS;01/02/2023;W;48;139;58;93;62.4;11;20;55.0;12;15;80.0;7;38;45;31;13;13;7;16;36
1251;PHI vs. NOP;01/02/2023;W;48;120;41;86;47.7;15;35;42.9;23;28;82.1;7;28;35;26;10;9;6;22;9
1252;MIL vs. WAS;01/01/2023;L;48;95;34;96;35.4;13;49;26.5;14;15;93.3;14;30;44;22;16;11;3;15;-23
1253;WAS @ MIL;01/01/2023;W;48;118;50;94;53.2;7;27;25.9;11;16;68.8;12;42;54;29;18;9;6;10;23
1254;BOS @ DEN;01/01/2023;L;48;111;40;87;46.0;9;33;27.3;22;27;81.5;10;31;41;30;13;8;3;15;-12
1255;SAC @ MEM;01/01/2023;L;48;108;39;96;40.6;15;43;34.9;15;15;100;14;33;47;24;16;7;4;18;-10
1256;DEN vs. BOS;01/01/2023;W;48;123;45;79;57.0;17;30;56.7;16;18;88.9;1;34;35;31;17;5;4;17;12
1257;MEM vs. SAC;01/01/2023;W;48;118;46;100;46.0;10;32;31.3;16;24;66.7;21;36;57;25;12;11;8;18;10
1258;CHI vs. CLE;12/31/2022;L;48;102;39;81;48.1;7;21;33.3;17;24;70.8;9;31;40;14;15;15;6;15;-1
1259;SAS vs. DAL;12/31/2022;L;48;125;47;85;55.3;8;19;42.1;23;32;71.9;15;33;48;28;13;1;0;21;-1
1260;DET @ MIN;12/31/2022;W;48;116;43;89;48.3;10;27;37.0;20;28;71.4;15;37;52;21;14;6;6;22;12
1261;CHA vs. BKN;12/31/2022;L;48;106;38;96;39.6;11;41;26.8;19;21;90.5;14;31;45;28;12;7;2;17;-17
1262;OKC vs. PHI;12/31/2022;L;48;96;35;92;38.0;12;36;33.3;14;22;63.6;15;35;50;16;16;7;6;21;-19
1263;NYK @ HOU;12/31/2022;W;48;108;35;90;38.9;15;51;29.4;23;32;71.9;16;30;46;20;10;10;5;20;20
1264;IND vs. LAC;12/31/2022;W;48;131;46;88;52.3;14;38;36.8;25;29;86.2;8;28;36;28;12;10;4;20;1
1265;MIN vs. DET;12/31/2022;L;48;104;36;83;43.4;10;34;29.4;22;26;84.6;9;30;39;17;15;6;5;22;-12
1266;NOP @ MEM;12/31/2022;L;48;101;32;91;35.2;8;30;26.7;29;36;80.6;15;31;46;16;20;6;4;21;-15
1267;MIA @ UTA;12/31/2022;W;48;126;45;89;50.6;13;39;33.3;23;30;76.7;10;27;37;32;12;10;1;32;3
1268;DAL @ SAS;12/31/2022;W;48;126;50;86;58.1;14;34;41.2;12;21;57.1;6;20;26;21;5;5;3;24;1
1269;BKN @ CHA;12/31/2022;W;48;123;48;80;60.0;13;34;38.2;14;19;73.7;2;40;42;26;14;7;6;16;17
1270;LAC @ IND;12/31/2022;L;48;130;43;80;53.8;16;34;47.1;28;29;96.6;8;31;39;23;16;7;6;23;-1
1271;CLE @ CHI;12/31/2022;W;48;103;39;85;45.9;13;38;34.2;12;19;63.2;15;35;50;20;21;9;5;18;1
1272;PHI @ OKC;12/31/2022;W;48;115;46;99;46.5;11;34;32.4;12;17;70.6;14;42;56;29;13;7;9;24;19
1273;UTA vs. MIA;12/31/2022;L;48;123;35;81;43.2;17;40;42.5;36;44;81.8;16;33;49;23;16;6;3;23;-3
1274;MEM vs. NOP;12/31/2022;W;48;116;47;92;51.1;5;29;17.2;17;22;77.3;13;39;52;26;19;14;11;27;15
1275;HOU vs. NYK;12/31/2022;L;48;88;29;77;37.7;14;46;30.4;16;23;69.6;12;40;52;20;25;4;6;24;-20
1276;PHI @ NOP;12/30/2022;L;48;116;42;75;56.0;14;34;41.2;18;22;81.8;3;26;29;28;19;5;7;22;-11
1277;DET @ CHI;12/30/2022;L;48;118;41;86;47.7;17;39;43.6;19;24;79.2;13;22;35;28;16;8;1;16;-14
1278;MIL vs. MIN;12/30/2022;W;48;123;43;93;46.2;14;39;35.9;23;33;69.7;20;48;68;25;21;5;8;25;9
1279;UTA @ SAC;12/30/2022;L;48;125;46;84;54.8;8;32;25.0;25;30;83.3;7;30;37;30;13;7;2;20;-1
1280;CHI vs. DET;12/30/2022;W;48;132;53;92;57.6;12;27;44.4;14;15;93.3;12;26;38;21;14;10;4;20;14
1281;TOR vs. PHX;12/30/2022;W;48;113;40;81;49.4;11;33;33.3;22;26;84.6;8;23;31;20;12;15;3;22;9
1282;POR @ GSW;12/30/2022;L;48;112;42;91;46.2;12;39;30.8;16;23;69.6;17;32;49;22;16;2;4;20;-6
1283;LAL @ ATL;12/30/2022;W;48;130;52;96;54.2;10;32;31.3;16;18;88.9;12;43;55;34;16;7;6;17;9
1284;GSW vs. POR;12/30/2022;W;48;118;42;91;46.2;17;43;39.5;17;21;81.0;17;29;46;29;13;9;2;22;6
1285;ORL vs. WAS;12/30/2022;L;48;100;42;100;42.0;5;27;18.5;11;16;68.8;8;27;35;24;11;8;2;18;-19
1286;PHX @ TOR;12/30/2022;L;48;104;35;71;49.3;14;30;46.7;20;23;87.0;9;33;42;26;27;7;1;17;-9
1287;MIN @ MIL;12/30/2022;L;48;114;40;92;43.5;8;30;26.7;26;34;76.5;7;29;36;18;8;10;5;28;-9
1288;WAS @ ORL;12/30/2022;W;48;119;42;75;56.0;15;35;42.9;20;25;80.0;4;49;53;33;26;4;10;18;19
1289;SAC vs. UTA;12/30/2022;W;48;126;50;90;55.6;12;30;40.0;14;19;73.7;10;28;38;32;15;5;3;21;1
1290;ATL vs. LAL;12/30/2022;L;48;121;48;101;47.5;11;38;28.9;14;20;70.0;12;29;41;22;10;6;5;19;-9
1291;MIA @ DEN;12/30/2022;L;48;119;39;87;44.8;14;35;40.0;27;30;90.0;11;25;36;21;15;13;4;19;-5
1292;NOP vs. PHI;12/30/2022;W;48;127;43;80;53.8;15;31;48.4;26;36;72.2;7;29;36;19;14;14;3;20;11
1293;DEN vs. MIA;12/30/2022;W;48;124;45;76;59.2;17;28;60.7;17;22;77.3;5;31;36;34;20;6;1;19;5
1294;HOU @ DAL;12/29/2022;L;48;114;38;86;44.2;12;34;35.3;26;37;70.3;12;36;48;21;13;5;0;23;-15
1295;DAL vs. HOU;12/29/2022;W;48;129;47;91;51.6;18;45;40.0;17;25;68.0;6;38;44;30;9;7;8;26;15
1296;SAS vs. NYK;12/29/2022;W;48;122;45;88;51.1;11;28;39.3;21;29;72.4;14;34;48;25;13;5;7;23;7
1297;CLE @ IND;12/29/2022;L;48;126;50;96;52.1;12;28;42.9;14;20;70.0;17;27;44;29;11;7;4;17;-9
1298;MEM @ TOR;12/29/2022;W;48;119;48;95;50.5;13;29;44.8;10;14;71.4;17;36;53;37;16;4;4;20;13
1299;OKC @ CHA;12/29/2022;L;48;113;42;99;42.4;11;36;30.6;18;21;85.7;11;30;41;15;12;9;1;27;-8
1300;LAC @ BOS;12/29/2022;L;48;110;43;89;48.3;15;39;38.5;9;14;64.3;8;33;41;26;13;4;4;20;-6
1301;NYK @ SAS;12/29/2022;L;48;115;38;90;42.2;15;41;36.6;24;31;77.4;13;25;38;20;13;7;2;21;-7
1302;IND vs. CLE;12/29/2022;W;48;135;48;85;56.5;19;31;61.3;20;21;95.2;4;28;32;28;9;6;8;18;9
1303;CHA vs. OKC;12/29/2022;W;48;121;46;84;54.8;10;32;31.3;19;29;65.5;12;40;52;33;18;8;11;17;8
1304;TOR vs. MEM;12/29/2022;L;48;106;39;96;40.6;10;28;35.7;18;24;75.0;17;30;47;21;8;11;7;20;-13
1305;BOS vs. LAC;12/29/2022;W;48;116;44;91;48.4;11;39;28.2;17;22;77.3;11;38;49;22;12;3;7;17;6
1306;ATL vs. BKN;12/28/2022;L;48;107;42;97;43.3;8;22;36.4;15;22;68.2;11;36;47;22;4;5;6;14;-1
1307;LAL @ MIA;12/28/2022;L;48;98;37;77;48.1;13;36;36.1;11;15;73.3;8;36;44;25;26;2;4;16;-14
1308;MIN @ NOP;12/28/2022;L;48;118;42;83;50.6;10;29;34.5;24;32;75.0;5;30;35;18;11;6;8;28;-1
1309;MIL @ CHI;12/28/2022;L;53;113;41;110;37.3;9;44;20.5;22;32;68.8;22;39;61;18;14;7;6;21;-6
1310;CHI vs. MIL;12/28/2022;W;53;119;42;92;45.7;9;23;39.1;26;30;86.7;7;45;52;21;14;5;10;23;6
1311;ORL @ DET;12/28/2022;L;48;101;35;85;41.2;5;22;22.7;26;34;76.5;15;32;47;24;13;5;5;26;-20
1312;GSW vs. UTA;12/28/2022;W;48;112;37;87;42.5;16;45;35.6;22;27;81.5;10;41;51;22;13;6;3;26;5
1313;DEN @ SAC;12/28/2022;L;48;126;49;85;57.6;12;27;44.4;16;18;88.9;7;27;34;31;16;6;8;24;-1
1314;WAS vs. PHX;12/28/2022;W;48;127;47;82;57.3;8;26;30.8;25;28;89.3;12;34;46;27;13;7;6;15;25
1315;DET vs. ORL;12/28/2022;W;48;121;36;80;45.0;18;42;42.9;31;40;77.5;11;38;49;25;13;7;4;25;20
1316;SAC vs. DEN;12/28/2022;W;48;127;47;89;52.8;14;31;45.2;19;25;76.0;11;23;34;32;12;10;6;17;1
1317;UTA @ GSW;12/28/2022;L;48;107;37;91;40.7;15;46;32.6;18;26;69.2;10;40;50;26;12;3;6;22;-5
1318;MIA vs. LAL;12/28/2022;W;48;112;44;92;47.8;11;35;31.4;13;16;81.3;10;27;37;20;6;14;4;15;14
1319;NOP vs. MIN;12/28/2022;W;48;119;39;81;48.1;11;23;47.8;30;43;69.8;9;34;43;22;15;6;4;24;1
1320;BKN @ ATL;12/28/2022;W;48;108;42;83;50.6;10;26;38.5;14;17;82.4;5;42;47;22;12;0;13;18;1
1321;PHX @ WAS;12/28/2022;L;48;102;39;87;44.8;13;31;41.9;11;16;68.8;11;19;30;25;11;7;4;21;-25
1322;PHI @ WAS;12/27/2022;L;48;111;39;84;46.4;6;31;19.4;27;31;87.1;10;29;39;21;16;8;10;24;-5
1323;NYK @ DAL;12/27/2022;L;53;121;45;103;43.7;16;50;32.0;15;24;62.5;17;38;55;27;10;5;0;23;-5
1324;TOR vs. LAC;12/27/2022;L;48;113;43;84;51.2;6;23;26.1;21;26;80.8;10;29;39;24;12;6;4;16;-11
1325;SAC vs. DEN;12/27/2022;L;48;106;40;82;48.8;10;35;28.6;16;19;84.2;8;31;39;20;16;8;2;18;-7
1326;CHA @ GSW;12/27/2022;L;48;105;38;92;41.3;10;38;26.3;19;25;76.0;9;38;47;22;14;6;7;20;-5
1327;HOU @ BOS;12/27/2022;L;48;102;38;95;40.0;14;45;31.1;12;14;85.7;13;36;49;24;15;5;2;16;-24
1328;DAL vs. NYK;12/27/2022;W;53;126;44;90;48.9;13;46;28.3;25;33;75.8;7;40;47;20;9;4;5;25;5
1329;SAS @ OKC;12/27/2022;L;48;114;46;99;46.5;10;29;34.5;12;14;85.7;16;25;41;20;15;9;4;21;-16
1330;GSW vs. CHA;12/27/2022;W;48;110;41;95;43.2;8;37;21.6;20;24;83.3;9;40;49;31;14;3;2;22;5
1331;MEM vs. PHX;12/27/2022;L;48;108;36;91;39.6;8;30;26.7;28;34;82.4;15;25;40;18;15;9;6;23;-17
