;MATCH UP;GAME DATE;W/L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;+/-
387;ORL vs. MIL;03/07/2023;L;48;123;50;100;50.0;9;30;30.0;14;19;73.7;10;28;38;24;13;7;0;22;-11
388;MIN vs. PHI;03/07/2023;L;48;94;34;86;39.5;11;36;30.6;15;21;71.4;6;28;34;19;11;9;7;16;-23
389;CHA @ NYK;03/07/2023;W;48;112;42;85;49.4;12;32;37.5;16;21;76.2;10;32;42;27;12;2;5;20;7
390;MEM @ LAL;03/07/2023;L;48;103;36;93;38.7;9;37;24.3;22;29;75.9;6;39;45;18;7;6;6;25;-9
391;HOU vs. BKN;03/07/2023;L;48;96;36;83;43.4;7;26;26.9;17;24;70.8;15;33;48;14;19;6;1;22;-22
392;WAS @ DET;03/07/2023;W;48;119;47;81;58.0;12;25;48.0;13;17;76.5;9;28;37;27;15;9;5;20;2
393;MIL @ ORL;03/07/2023;W;48;134;46;78;59.0;10;28;35.7;32;34;94.1;3;35;38;28;17;5;5;18;11
394;DET vs. WAS;03/07/2023;L;48;117;43;84;51.2;13;30;43.3;18;22;81.8;10;20;30;29;12;6;3;16;-2
395;LAL vs. MEM;03/07/2023;W;48;112;41;90;45.6;7;28;25.0;23;29;79.3;7;50;57;27;15;4;2;18;9
396;DAL vs. UTA;03/07/2023;W;48;120;42;89;47.2;19;45;42.2;17;22;77.3;3;40;43;24;17;10;6;20;4
397;BKN @ HOU;03/07/2023;W;48;118;40;81;49.4;15;40;37.5;23;29;79.3;5;31;36;23;12;12;7;21;22
398;IND vs. PHI;03/06/2023;L;48;143;53;90;58.9;15;37;40.5;22;31;71.0;5;25;30;28;9;8;4;24;-4
399;BOS @ CLE;03/06/2023;L;53;114;42;101;41.6;16;48;33.3;14;21;66.7;15;37;52;25;14;5;5;21;-4
400;MIA vs. ATL;03/06/2023;W;48;130;41;77;53.2;16;29;55.2;32;37;86.5;8;24;32;27;11;6;4;17;2
401;PHI @ IND;03/06/2023;W;48;147;48;82;58.5;16;34;47.1;35;38;92.1;5;31;36;37;12;6;5;26;4
402;TOR @ DEN;03/06/2023;L;48;113;43;86;50.0;10;27;37.0;17;20;85.0;11;30;41;29;15;6;4;20;-5
403;DEN vs. TOR;03/06/2023;W;48;118;43;86;50.0;13;33;39.4;19;23;82.6;12;29;41;30;14;9;2;12;5
404;DET vs. POR;03/06/2023;L;48;104;40;86;46.5;10;32;31.3;14;20;70.0;16;36;52;30;16;9;6;21;-6
405;ATL @ MIA;03/06/2023;L;48;128;51;92;55.4;9;29;31.0;17;23;73.9;12;25;37;28;11;5;0;25;-2
406;NOP @ SAC;03/06/2023;L;48;108;43;80;53.8;11;29;37.9;11;14;78.6;7;33;40;29;16;6;4;19;-15
407;SAC vs. NOP;03/06/2023;W;48;123;47;83;56.6;16;38;42.1;13;20;65.0;6;27;33;39;11;7;3;12;15
408;POR @ DET;03/06/2023;W;48;110;38;78;48.7;15;33;45.5;19;25;76.0;5;33;38;28;11;7;6;17;6
409;CLE vs. BOS;03/06/2023;W;53;118;43;96;44.8;12;34;35.3;20;25;80.0;16;42;58;27;15;4;7;20;4
410;MEM @ LAC;03/05/2023;L;48;129;50;92;54.3;18;34;52.9;11;15;73.3;2;24;26;32;8;13;3;23;-6
411;MIL @ WAS;03/05/2023;W;48;117;39;83;47.0;22;49;44.9;17;22;77.3;7;38;45;30;12;5;6;15;6
412;BOS vs. NYK;03/05/2023;L;58;129;43;109;39.4;21;59;35.6;22;25;88.0;17;37;54;27;16;8;5;28;-2
413;OKC vs. UTA;03/05/2023;W;48;129;44;87;50.6;14;37;37.8;27;33;81.8;11;31;42;24;12;9;4;20;10
414;SAS @ HOU;03/05/2023;L;48;110;43;93;46.2;11;34;32.4;13;21;61.9;13;22;35;23;15;5;4;20;-32
415;ORL vs. POR;03/05/2023;L;48;119;42;84;50.0;11;31;35.5;24;31;77.4;6;32;38;29;11;11;2;25;-3
416;UTA @ OKC;03/05/2023;L;48;119;43;88;48.9;11;37;29.7;22;27;81.5;12;27;39;30;16;5;8;25;-10
417;DAL vs. PHX;03/05/2023;L;48;126;38;77;49.4;15;38;39.5;35;38;92.1;5;26;31;15;10;5;0;22;-4
418;LAL vs. GSW;03/05/2023;W;48;113;42;95;44.2;11;33;33.3;18;22;81.8;10;36;46;29;9;3;3;17;8
419;CHI vs. IND;03/05/2023;L;48;122;45;74;60.8;10;22;45.5;22;25;88.0;4;29;33;18;15;6;3;20;-3
420;LAC vs. MEM;03/05/2023;W;48;135;45;85;52.9;12;29;41.4;33;35;94.3;13;40;53;25;17;6;2;17;6
421;HOU vs. SAS;03/05/2023;W;48;142;52;85;61.2;13;24;54.2;25;29;86.2;6;38;44;29;12;10;3;20;32
422;BKN vs. CHA;03/05/2023;W;48;102;36;92;39.1;12;43;27.9;18;22;81.8;8;44;52;21;8;5;9;12;16
423;POR @ ORL;03/05/2023;W;48;122;39;83;47.0;16;47;34.0;28;32;87.5;9;37;46;27;17;9;5;22;3
424;WAS vs. MIL;03/05/2023;L;48;111;46;108;42.6;8;31;25.8;11;12;91.7;20;36;56;21;9;8;2;19;-6
425;CHA @ BKN;03/05/2023;L;48;86;33;88;37.5;8;30;26.7;12;15;80.0;5;44;49;17;10;2;3;19;-16
426;IND @ CHI;03/05/2023;W;48;125;48;94;51.1;16;44;36.4;13;16;81.3;13;22;35;27;9;5;6;18;3
427;PHX @ DAL;03/05/2023;W;48;130;49;89;55.1;12;34;35.3;20;25;80.0;9;32;41;27;9;5;2;28;4
428;GSW @ LAL;03/05/2023;L;48;105;36;91;39.6;18;52;34.6;15;18;83.3;7;35;42;27;13;2;6;21;-8
429;NYK @ BOS;03/05/2023;W;58;131;47;95;49.5;15;41;36.6;22;32;68.8;11;43;54;18;20;7;4;27;2
430;TOR @ WAS;03/04/2023;W;53;116;47;90;52.2;12;30;40.0;10;14;71.4;10;24;34;30;14;14;4;21;7
431;MIA vs. ATL;03/04/2023;W;48;117;42;83;50.6;13;35;37.1;20;23;87.0;12;31;43;31;20;5;3;19;8
432;ATL @ MIA;03/04/2023;L;48;109;37;79;46.8;9;30;30.0;26;30;86.7;10;27;37;22;16;12;1;23;-8
433;WAS vs. TOR;03/04/2023;L;53;109;38;75;50.7;14;24;58.3;19;22;86.4;9;34;43;26;24;9;5;16;-7
434;MIL vs. PHI;03/04/2023;L;48;130;44;83;53.0;17;34;50.0;25;28;89.3;11;32;43;30;13;3;3;23;-3
435;PHI @ MIL;03/04/2023;W;48;133;42;84;50.0;18;37;48.6;31;37;83.8;9;23;32;24;6;5;1;21;3
436;HOU @ SAS;03/04/2023;W;48;122;49;87;56.3;8;23;34.8;16;22;72.7;14;31;45;26;16;9;5;24;12
437;MIN @ SAC;03/04/2023;W;48;138;48;80;60.0;20;39;51.3;22;31;71.0;6;34;40;31;12;4;6;21;4
438;DET @ CLE;03/04/2023;L;48;90;33;81;40.7;6;24;25.0;18;25;72.0;12;37;49;19;24;5;7;15;-24
439;SAS vs. HOU;03/04/2023;L;48;110;38;86;44.2;15;37;40.5;19;20;95.0;13;29;42;24;15;9;3;20;-12
440;SAC vs. MIN;03/04/2023;L;48;134;49;89;55.1;14;27;51.9;22;30;73.3;11;28;39;25;6;5;1;21;-4
441;CLE vs. DET;03/04/2023;W;48;114;45;91;49.5;14;34;41.2;10;18;55.6;8;31;39;29;12;14;8;18;24
442;CHI vs. PHX;03/03/2023;L;48;104;39;83;47.0;7;23;30.4;19;25;76.0;9;25;34;24;9;7;1;15;-21
